path,zlist_least_dist,zlist_most_dist,zlist_mean_dist,zlist_3least_dist,id,contrast_factor,crop_bottom,test,task,activity
../../data/outputs/bookleta/activity2b/94fd1-71561.jpg,0.6675916,0.7783491,0.7332267,0.69654685,94fd1-71561,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/9cf64-79099.jpg,0.71128225,0.7899687,0.7461792,0.7274297,9cf64-79099,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/c6e72-74881.jpg,0.69544375,0.76120913,0.73038256,0.7056384,c6e72-74881,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/94fd1-70694.jpg,0.72332025,0.77401596,0.7453771,0.7298732,94fd1-70694,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/d9583-66934.jpg,0.6835021,0.78748494,0.73292446,0.69728756,d9583-66934,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/65a68-68251.jpg,0.67951405,0.78632253,0.74529994,0.7026084,65a68-68251,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/9b50a-53802.jpg,0.695227,0.7594846,0.719902,0.7015245,9b50a-53802,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/9508e-68724.jpg,0.6893278,0.7838019,0.7320851,0.7060659,9508e-68724,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/dbfa7-69221.jpg,0.7003162,0.760694,0.72471356,0.70237064,dbfa7-69221,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/060f1-67289.jpg,0.7067081,0.7428423,0.722363,0.71080905,060f1-67289,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/94fd1-71367.jpg,0.69461256,0.7831401,0.73369086,0.70263505,94fd1-71367,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/214b9-71565.jpg,0.6737776,0.75589234,0.7124877,0.6795204,214b9-71565,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/ce6fd-54313.jpg,0.72692764,0.76555413,0.73830205,0.72836274,ce6fd-54313,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/a718a-78470.jpg,0.69204634,0.76219356,0.71729875,0.6953063,a718a-78470,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6544f-75077.jpg,0.689705,0.7919549,0.74232,0.7040758,6544f-75077,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/9b50a-74661.jpg,0.7331608,0.7890765,0.7682525,0.7454837,9b50a-74661,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/b5b5f-79047.jpg,0.6536678,0.783961,0.7418475,0.70388603,b5b5f-79047,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/9508e-47261.jpg,0.7282082,0.7814807,0.75493777,0.73299265,9508e-47261,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/39dc2-75204.jpg,0.6611727,0.7624107,0.7312881,0.6993105,39dc2-75204,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6544f-74340.jpg,0.69153404,0.78022766,0.74493754,0.71509916,6544f-74340,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/b238c-75288.jpg,0.6987717,0.7586245,0.73193395,0.7093093,b238c-75288,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/2953c-71101.jpg,0.69681424,0.79901236,0.75980544,0.7229876,2953c-71101,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6771d-74742.jpg,0.6999395,0.7884534,0.7463094,0.71274304,6771d-74742,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6544f-75506.jpg,0.7001592,0.7702216,0.72779304,0.70503,6544f-75506,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6dcd4-8292.jpg,0.7217146,0.80207217,0.76936376,0.73804235,6dcd4-8292,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/20479-35088.jpg,0.68335235,0.77885616,0.73202056,0.6987112,20479-35088,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/dbfa7-77803.jpg,0.67426676,0.8068744,0.7647892,0.72493047,dbfa7-77803,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/9b50a-75191.jpg,0.7008848,0.78063035,0.73269403,0.70674485,9b50a-75191,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6dcd4-1103.jpg,0.6848326,0.78249645,0.72368175,0.6950051,6dcd4-1103,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/d5c10-73111.jpg,0.6839736,0.7870445,0.7491541,0.7046897,d5c10-73111,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/9508e-1438.jpg,0.6781198,0.80362844,0.73623455,0.69316864,9508e-1438,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/ea193-72950.jpg,0.685337,0.7740036,0.71940994,0.6949919,ea193-72950,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/d9583-76259.jpg,0.6871845,0.74018085,0.71950996,0.69627684,d9583-76259,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/65a68-64865.jpg,0.69197077,0.77766186,0.7280626,0.69843847,65a68-64865,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/9cf64-76418.jpg,0.70019454,0.80978394,0.75940865,0.7108839,9cf64-76418,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6dcd4-2420.jpg,0.72910166,0.7904861,0.7582744,0.73699886,6dcd4-2420,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/b560a-76805_Unmatched.jpg,0.6948688,0.7971935,0.7532444,0.7104648,b560a-76805_Unmatched,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6dcd4-0753.jpg,0.6939693,0.7612575,0.7271947,0.6994426,6dcd4-0753,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/94fd1-71172.jpg,0.6835139,0.7760197,0.74408877,0.7076042,94fd1-71172,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/bcb6d-71024.jpg,0.7010385,0.7737264,0.7448881,0.7155757,bcb6d-71024,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/4c2f9-09558_UM_TTCT Post ASS SS2011 EoL2.jpg,0.70778024,0.79464257,0.74733794,0.719378,4c2f9-09558_UM_TTCT Post ASS SS2011 EoL2,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/21ac7-27262.jpg,0.717818,0.7720438,0.7401623,0.7228093,21ac7-27262,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/a718a-71682.jpg,0.7128096,0.7774526,0.7395482,0.7149965,a718a-71682,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6dcd4-7439.jpg,0.67218274,0.77633,0.7335305,0.6878851,6dcd4-7439,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/214b9-75098.jpg,0.68438935,0.7697723,0.73086834,0.6941158,214b9-75098,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/214b9-70686.jpg,0.68693084,0.78011113,0.72990483,0.69521445,214b9-70686,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/dee97-71558 M.jpg,0.72468257,0.7699467,0.75357217,0.73695296,dee97-71558 M,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/dbfa7-80132.jpg,0.6642071,0.78408736,0.7370604,0.6971369,dbfa7-80132,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/ce6fd-67081.jpg,0.679863,0.7764507,0.73588896,0.70277476,ce6fd-67081,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/39dc2-73110.jpg,0.6935928,0.78009415,0.7376693,0.7082018,39dc2-73110,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/39dc2-66910.jpg,0.7018697,0.7616558,0.72875905,0.7064937,39dc2-66910,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/dbfa7-78460.jpg,0.71623015,0.7637644,0.73497385,0.71902174,dbfa7-78460,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/b5b5f-74951.jpg,0.677672,0.7833772,0.72809,0.6883449,b5b5f-74951,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/b5b5f-78819.jpg,0.7029845,0.7613657,0.7291697,0.7061212,b5b5f-78819,4,False,ttct,bookleta,activity2b
